Feature,SHAP_Importance
Airport Congestion,0.10349347361541904
Previous Delay,0.05538237751002245
Aircraft Age,0.04595347528840474
Origin Weather,0.04050335493568943
Route Weather,0.03347244435366789
Departure Hour,0.03036802185484551
Dest Weather,0.02669988473073996
Month,0.02558051222150381
Dest Lon,0.025050156225547165
Day of Week,0.02387680787892781
Origin Lat,0.02323064732024014
Scheduled Time,0.02311793055805
Origin Lon,0.02278445644481232
Distance,0.021565167178236685
Carrier Reliability,0.019568036782781385
Carrier Avg Delay,0.018328130273897455
Dest Lat,0.017628708067430818
