Feature,SHAP_Importance
R2 Fuel,0.043471628343737544
R1 Distance,0.041100038111549504
Delay Probability,0.03353400300718065
R1 Time,0.031223643925223792
R1 Fuel,0.028556756315743947
R3 Time,0.028438607031880603
Distance,0.02754620419858792
R1 Distance (nm),0.02387046646401924
R2 Distance (nm),0.020655920943369484
Origin Weather,0.015982188152183
Predicted Delay,0.012499973662928196
R3 Distance (nm),0.012304563259195595
R2 Congestion,0.008040156890726149
R3 Weather,0.007862413780121607
R1 Weather,0.006115088974876956
Dest Weather,0.0057575234072322215
R2 Weather,0.00569848126094296
R2 Altitude,0.005586204860899368
Fuel Consumption,0.005489604043465957
R1 Congestion,0.004922563035154002
R3 Fuel,0.004596272360023307
R2 Time,0.004093413213502504
Airport Congestion,0.004073505913125141
R3 Distance,0.003871961874117928
Scheduled Time,0.003828189904831024
R2 Distance,0.003298188490536702
R1 Altitude,0.0030981972944752333
R3 Congestion,0.0019385107057790364
Distance (nm),0.0017207689111345924
Cruise Alt,0.0009514867724459246
Headwind,0.0007553313581360319
R3 Altitude,0.0005167026753447201
